"Gene_ID","log2FC","p_value","adjusted_p_value","Regulation","Gene_Symbol","Gene_Name"
"ENSG00000149050",-0.557998452225266,0.571310093329369,1,"NS","ZNF214","zinc finger protein 214"
"ENSG00000148965",-5.19469186133494,0.218732210157085,1,"NS","SAA4","serum amyloid A4, constitutive"
"ENSG00000150787",0.0784955468679648,0.895561215264906,1,"NS","PTS","6-pyruvoyltetrahydropterin synthase"
"ENSG00000162300",0.252391994251452,0.65425731449888,1,"NS","ZFPL1","zinc finger protein like 1"
"ENSG00000254470",0.0566093920464902,0.919702564805342,1,"NS","AP5B1","adaptor related protein complex 5 subunit beta 1"
"ENSG00000110195",-0.0264499991718928,0.987081454252623,1,"NS","FOLR1","folate receptor alpha"
"ENSG00000006534",0.386147516365077,0.619508561374496,1,"NS","ALDH3B1","aldehyde dehydrogenase 3 family member B1"
"ENSG00000072952",0.118231196022645,0.890777544924072,1,"NS","IRAG1","inositol 1,4,5-triphosphate receptor associated 1"
"ENSG00000184363",0.165093274612986,0.886465000596409,1,"NS","PKP3","plakophilin 3"
"ENSG00000176973",1.86725788628201,0.0630287971776624,1,"NS","FAM89B","family with sequence similarity 89 member B"
"ENSG00000151366",0.467098819597632,0.462765494132388,1,"NS","NDUFC2","NADH:ubiquinone oxidoreductase subunit C2"
"ENSG00000172613",0.182467382180037,0.710344512690483,1,"NS","RAD9A","RAD9 checkpoint clamp component A"
"ENSG00000019102",1.12630181046979,0.238507188990305,1,"NS","VSIG2","V-set and immunoglobulin domain containing 2"
"ENSG00000137673",-1.50499077969038,0.393588134730619,1,"NS","MMP7","matrix metallopeptidase 7"
"ENSG00000167996",0.12821473524652,0.813579895829536,1,"NS","FTH1","ferritin heavy chain 1"
"ENSG00000132744",0.297360422164119,0.665915172119715,1,"NS","ACY3","aminoacylase 3"
"ENSG00000162148",0.143657364291602,0.83261106188884,1,"NS","SAXO4","stabilizer of axonemal microtubules 4"
"ENSG00000110448",-0.696667646621199,0.566079209060742,1,"NS","CD5","CD5 molecule"
"ENSG00000187726",3.1324746889205,0.0228405368596082,1,"NS","DNAJB13","DnaJ heat shock protein family (Hsp40) member B13"
"ENSG00000013725",0.378725395614942,0.74963850068452,1,"NS","CD6","CD6 molecule"
"ENSG00000110436",-3.61147228541504,0.070972983209783,1,"NS","SLC1A2","solute carrier family 1 member 2"
"ENSG00000244242",3.258298191168,0.00348487968809919,0.676472061051525,"NS","IFITM10","interferon induced transmembrane protein 10"
"ENSG00000014216",0.46797807579162,0.500270189376342,1,"NS","CAPN1","calpain 1"
"ENSG00000137752",-0.425372765552042,0.566506514412801,1,"NS","CASP1","caspase 1"
"ENSG00000137642",-1.00424190560731,0.185657178253833,1,"NS","SORL1","sortilin related receptor 1"
"ENSG00000149243",0.949669152894207,0.298730222587704,1,"NS","KLHL35","kelch like family member 35"
"ENSG00000168004",3.5593292379216,0.0881013441197461,1,"NS","PLAAT5","phospholipase A and acyltransferase 5"
"ENSG00000162139",-0.227262664784321,0.627121494852853,1,"NS","NEU3","neuraminidase 3"
"ENSG00000172818",0.124906017662423,0.890680152381793,1,"NS","OVOL1","ovo like transcriptional repressor 1"
"ENSG00000149295",2.14816293407337,0.0520066228246201,1,"NS","DRD2","dopamine receptor D2"
"ENSG00000110172",-0.268854114323599,0.672175441616609,1,"NS","CHORDC1","cysteine and histidine rich domain containing 1"
"ENSG00000172425",0.751113331063443,0.669404305311245,1,"NS","TTC36","tetratricopeptide repeat domain 36"
"ENSG00000126500",0.201556251158598,0.826956954476097,1,"NS","FLRT1","fibronectin leucine rich transmembrane protein 1"
"ENSG00000187049",0.23508011071777,0.567032665457216,1,"NS","TMEM216","transmembrane protein 216"
"ENSG00000110047",0.819353307386494,0.414265614036133,1,"NS","EHD1","EH domain containing 1"
"ENSG00000121236",0.228175905497559,0.825857334614401,1,"NS","TRIM6","tripartite motif containing 6"
"ENSG00000109943",0.181190242674282,0.900879970077083,1,"NS","CRTAM","cytotoxic and regulatory T cell molecule"
"ENSG00000170946",-0.357185000571162,0.52135672109438,1,"NS","DNAJC24","DnaJ heat shock protein family (Hsp40) member C24"
"ENSG00000053918",0.232886446973887,0.786255679587045,1,"NS","KCNQ1","potassium voltage-gated channel subfamily Q member 1"
